model,method,scoring,itinerary ,itinerary version ,nutrition ,nutrition version ,todolist ,todolist version 
gemini-3-flash,flat_rag,N/A,35.0,20.0,30.0,10.0,48.0,50.0
gemini-3-flash,in_context,N/A,95.0,60.0,70.0,40.0,72.0,70.0
gemini-3-flash,semantic_xpath,dense,65.0,60.0,60.0,70.0,68.0,100.0
gemini-3-flash,semantic_xpath,entailment,75.0,60.0,65.0,80.0,72.0,100.0
gpt5-mini,flat_rag,N/A,25.0,20.0,25.0,10.0,40.0,50.0
gpt5-mini,in_context,N/A,55.0,90.0,75.0,10.0,80.0,80.0
gpt5-mini,semantic_xpath,dense,75.0,50.0,60.0,60.0,64.0,100.0
gpt5-mini,semantic_xpath,entailment,85.0,80.0,80.0,70.0,84.0,100.0
qwen3-80b,flat_rag,N/A,10.0,,,,40.0,
qwen3-80b,in_context,N/A,40.0,,0.0,,60.0,
qwen3-80b,semantic_xpath,dense,55.0,,25.0,,44.0,
qwen3-80b,semantic_xpath,entailment,60.0,,50.0,,56.0,
