model,method,domain,scoring,Turn_1,Turn_2,Turn_3,Turn_4,Turn_5,Turn_6,Turn_7
gemini-3-flash,flat_rag,itinerary,N/A,3.031672,2.988002,3.0669099999999996,2.83678,2.7867319999999998,2.7019919999999997,2.886964
gemini-3-flash,flat_rag,nutrition,N/A,3.179466,3.73876,3.4660539999999997,3.7599199999999997,3.330654,3.404236,3.089358
gemini-3-flash,flat_rag,todolist,N/A,3.050662,2.814272,2.8401579999999997,2.909894,2.453528,2.7997240000000003,2.449156
gemini-3-flash,in_context,itinerary,N/A,167.159602,36.949624,24.656054,36.578855999999995,19.834046,32.876578,13.684667999999999
gemini-3-flash,in_context,nutrition,N/A,9.713518,9.103862,12.441096000000002,12.826553999999998,12.162678,7.933534,11.545365999999998
gemini-3-flash,in_context,todolist,N/A,24.666112000000002,24.675261999999996,24.585430000000002,24.224472,24.34859,17.868826,28.804181999999997
gemini-3-flash,semantic_xpath,itinerary,entailment,6.487234000000001,5.108726,5.351932,5.592688,4.330942,4.522004,7.986544
gemini-3-flash,semantic_xpath,nutrition,entailment,6.61095,6.123084,6.0820680000000005,6.769083999999999,6.890334,6.6955919999999995,6.989668
gemini-3-flash,semantic_xpath,todolist,entailment,7.030496000000001,5.40871,5.252838,5.106490000000001,5.1675439999999995,5.420755999999999,4.6409199999999995
gpt5-mini,flat_rag,itinerary,N/A,9.342775999999999,8.472480000000001,9.636987999999999,9.11057,11.614958,8.499834,7.442359999999999
gpt5-mini,flat_rag,nutrition,N/A,8.708940000000002,11.082914,10.396778000000001,10.64965,10.016192,10.677935999999999,10.565548
gpt5-mini,flat_rag,todolist,N/A,8.36398,7.961933999999999,8.351078000000001,9.289349999999999,7.244802,7.503242,7.543921999999999
gpt5-mini,in_context,itinerary,N/A,79.26208999999999,84.450128,74.124364,92.79964600000001,69.527388,78.123722,41.12034799999999
gpt5-mini,in_context,nutrition,N/A,516.680658,195.92907999999997,266.93399600000004,163.398214,71.694228,133.23764,134.532672
gpt5-mini,in_context,todolist,N/A,187.258176,61.15569000000001,57.831358,62.262444,177.863156,56.33744,61.691556000000006
gpt5-mini,semantic_xpath,itinerary,entailment,17.015686,14.675121999999998,15.95944,14.548454000000001,15.090465999999997,16.854232000000003,16.409950000000002
gpt5-mini,semantic_xpath,nutrition,entailment,15.987549999999999,15.534060000000002,13.764875999999997,15.975369999999998,13.456786,18.06812,17.914364
gpt5-mini,semantic_xpath,todolist,entailment,14.52925,13.524467999999999,15.288596000000002,12.172914,13.391098,15.154320000000002,12.751298
