model,method,scoring,itinerary ,itinerary version ,nutrition ,nutrition version ,todolist ,todolist version 
gemini-3-flash,flat_rag,N/A,3348.75,3163.5,3800.45,3596.5,2933.88,2959.3
gemini-3-flash,in_context,N/A,12846.15,31638.9,52849.05,174567.0,10465.0,23602.3
gemini-3-flash,semantic_xpath,dense,5453.9,5451.0,6965.9,6954.2,5710.24,5871.5
gemini-3-flash,semantic_xpath,entailment,5240.15,5671.3,6644.2,6781.6,5604.84,5526.3
gpt5-mini,flat_rag,N/A,3136.55,3250.3,3891.85,3686.3,2722.36,3043.0
gpt5-mini,in_context,N/A,12136.5,28341.5,61068.9,158552.5,5443.52,20397.6
gpt5-mini,semantic_xpath,dense,5547.95,5663.9,7013.45,7087.4,5936.64,6131.9
gpt5-mini,semantic_xpath,entailment,5160.75,5820.1,6727.75,6079.3,5184.0,5649.4
qwen3-80b,flat_rag,N/A,2963.8,,,,2522.12,
qwen3-80b,in_context,N/A,10159.7,,51406.3,,7923.64,
qwen3-80b,semantic_xpath,dense,5509.3,,7230.75,,5666.36,
qwen3-80b,semantic_xpath,entailment,5407.95,,6989.2,,5570.92,
