model,method,domain,scoring,Turn_1,Turn_2,Turn_3,Turn_4,Turn_5,Turn_6,Turn_7
gemini-3-flash,flat_rag,itinerary,N/A,3702.2,3918.0,3910.6,3419.4,3432.8,4603.4,3492.8
gemini-3-flash,flat_rag,nutrition,N/A,4011.2,4130.6,4298.4,4325.2,4043.6,4526.6,3733.2
gemini-3-flash,flat_rag,todolist,N/A,3504.8,3254.0,3468.2,3445.8,3218.4,3452.2,3103.8
gemini-3-flash,in_context,itinerary,N/A,14393.0,20575.4,22126.0,26621.8,26109.0,29987.8,30820.6
gemini-3-flash,in_context,nutrition,N/A,50400.6,51809.4,53924.0,55865.0,57790.2,58986.6,60928.8
gemini-3-flash,in_context,todolist,N/A,12325.6,16664.4,20623.6,24720.2,28963.0,32122.4,37188.2
gemini-3-flash,semantic_xpath,itinerary,entailment,5803.2,6089.4,6165.0,5570.0,5644.8,5360.2,6013.0
gemini-3-flash,semantic_xpath,nutrition,entailment,7153.2,7140.4,6906.2,7374.4,7222.0,7132.4,6852.2
gemini-3-flash,semantic_xpath,todolist,entailment,6179.8,6065.4,6383.6,6055.4,6017.4,6177.6,6045.0
gpt5-mini,flat_rag,itinerary,N/A,3720.2,3859.2,3938.8,3546.8,3505.0,4572.4,3413.8
gpt5-mini,flat_rag,nutrition,N/A,4032.4,4235.4,4327.6,4404.8,4216.4,4628.4,3939.2
gpt5-mini,flat_rag,todolist,N/A,3520.8,3261.4,3480.2,3548.4,3247.0,3480.2,3150.4
gpt5-mini,in_context,itinerary,N/A,13493.2,18766.2,23524.0,28381.0,32593.4,37861.6,40196.4
gpt5-mini,in_context,nutrition,N/A,66461.4,72479.2,85002.8,94219.2,93667.6,102271.0,109780.4
gpt5-mini,in_context,todolist,N/A,11401.4,14909.2,18318.2,20963.8,24456.4,28067.4,31678.8
gpt5-mini,semantic_xpath,itinerary,entailment,5927.0,6169.4,6266.4,5748.2,5779.4,6159.0,6153.6
gpt5-mini,semantic_xpath,nutrition,entailment,7210.0,7300.8,6350.0,7327.0,7161.6,7485.0,7175.4
gpt5-mini,semantic_xpath,todolist,entailment,6146.0,6051.2,6379.0,5982.8,5899.2,6148.0,6036.0
